Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,Hampshire Constabulary,1WB01,1,0,1,0,2,0,0,1,10,0,0
2011-10,Hampshire Constabulary,1WB07,1,0,0,1,0,0,0,0,0,1,0
2011-10,Hampshire Constabulary,1WB06,3,0,1,2,27,4,3,2,0,1,1
2011-10,Hampshire Constabulary,1WB05,0,0,0,0,3,7,0,1,0,0,0
2011-10,Hampshire Constabulary,1WB04,1,0,0,1,1,0,0,3,0,0,1
2011-10,Hampshire Constabulary,6TR05,6,0,8,3,29,4,6,8,1,1,2
2011-10,Hampshire Constabulary,2LW03,0,0,2,3,19,4,1,1,0,1,1
2011-10,Hampshire Constabulary,6NL10,2,0,3,3,24,7,12,9,0,0,4
2011-10,Hampshire Constabulary,6NL02,8,0,1,1,12,1,3,7,4,0,1
2011-10,Hampshire Constabulary,4PN03,9,0,5,30,75,26,4,13,2,3,3
2011-10,Hampshire Constabulary,4PN02,7,0,5,24,58,16,10,35,2,5,4
2011-10,Hampshire Constabulary,4PN01,5,0,6,10,46,8,6,3,2,5,11
2011-10,Hampshire Constabulary,1WB14,0,0,0,0,1,1,0,5,0,3,0
2011-10,Hampshire Constabulary,1WB15,1,0,2,0,9,1,0,1,0,0,1
2011-10,Hampshire Constabulary,1WB16,2,0,4,3,12,6,1,2,0,1,1
2011-10,Hampshire Constabulary,1WB10,7,0,0,2,2,1,0,3,0,0,1
2011-10,Hampshire Constabulary,1WB11,1,0,1,2,15,2,1,4,0,2,0
2011-10,Hampshire Constabulary,1WB12,2,0,1,4,23,5,2,5,0,1,4
2011-10,Hampshire Constabulary,1WB13,2,0,0,0,0,0,0,1,0,0,0
2011-10,Hampshire Constabulary,5YS01,15,1,12,41,107,29,11,21,18,9,14
2011-10,Hampshire Constabulary,5YS02,22,2,10,32,165,42,7,20,9,5,8
2011-10,Hampshire Constabulary,6TR06,7,0,3,4,6,7,0,8,1,0,0
2011-10,Hampshire Constabulary,6NL11,4,0,3,7,20,7,0,0,1,0,1
2011-10,Hampshire Constabulary,1WC07,4,0,4,6,53,8,1,12,4,4,6
2011-10,Hampshire Constabulary,6EE01,4,0,0,8,38,2,9,17,7,9,6
2011-10,Hampshire Constabulary,6TR07,1,0,2,3,14,2,0,2,0,0,0
